method,seed,latent_dim,beta,n_clusters,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_samples_silhouette
vae_kmeans,42,8,0.1,2,0.1267642378807068,1295.5883242598065,2.4860248547400183,-0.0007866350345224068,0.002583529859930554,0.531946805319468,3000
vae_gmm,42,8,0.1,2,0.12651857733726501,1292.6538291697468,2.4711870259878523,-0.00140079506677444,0.0024789337311166377,0.531946805319468,3000
vae_kmeans,42,8,0.1,3,0.10927579551935196,1116.0579052647993,2.574722419473227,0.0017259066374820128,0.0021694425004757287,0.531946805319468,3000
vae_gmm,42,8,0.1,3,0.10250869393348694,1075.0063561912734,2.6506164883852645,-0.002838754439883608,0.004052392277507796,0.531946805319468,3000
vae_kmeans,42,8,0.1,4,0.0991111770272255,986.8908242482913,2.331443654364966,0.0011113546722565165,0.0022750079488508736,0.531946805319468,3000
vae_gmm,42,8,0.1,4,0.05279131606221199,669.7469661141624,3.935102464640351,0.02353186510882868,0.06064586640280335,0.531946805319468,3000
vae_kmeans,42,8,0.1,5,0.09660857170820236,903.5688090802181,2.165005153841384,0.0019273964910275492,0.003994933477546498,0.531946805319468,3000
vae_gmm,42,8,0.1,5,0.02638837695121765,550.5130006639419,3.4234946519439164,0.010154642316567984,0.04782093413742649,0.531946805319468,3000
vae_kmeans,42,8,0.1,6,0.09404807537794113,840.0253586463745,2.066773415545051,0.027185473283755892,0.029425316899199565,0.5781421857814218,3000
vae_gmm,42,8,0.1,6,0.03970535472035408,591.7852162796419,3.4830902063589257,0.018898819187320826,0.028708454042402708,0.5332466753324667,3000
vae_kmeans,42,8,0.1,7,0.0963151827454567,798.2562032496166,1.974250032116877,0.0661188720997347,0.15747334476987315,0.6058394160583942,3000
vae_gmm,42,8,0.1,7,0.02024342678487301,444.91693859532836,3.239256493993925,0.00951306602719636,0.05157018148592842,0.531946805319468,3000
vae_kmeans,42,8,0.1,8,0.0958474650979042,754.0504525809714,1.938102800399812,0.05711139575287605,0.14952457237523972,0.6040395960403959,3000
vae_gmm,42,8,0.1,8,0.048240434378385544,540.179408483959,2.7103273284459,0.03574055941480795,0.10778669262050294,0.5604439556044396,3000
vae_kmeans,42,8,0.1,9,0.09513472765684128,718.2707235399007,2.0201616296799028,0.04706683734659665,0.13922414039330683,0.5996400359964004,3000
vae_gmm,42,8,0.1,9,0.036529120057821274,507.0463868744,2.759805678999465,0.03289272508587061,0.10182642053813298,0.5581441855814419,3000
vae_kmeans,42,8,0.1,10,0.09398972243070602,683.7859178896725,1.9724680780608939,0.040971364258543606,0.131152236997292,0.5946405359464053,3000
vae_gmm,42,8,0.1,10,0.02622733637690544,452.85063304692767,2.739612578130272,0.02785747276461353,0.10336961150149335,0.5581441855814419,3000
vae_kmeans,42,8,0.1,11,0.09012192487716675,653.1836949683217,1.9517814699110276,0.034779586431247955,0.1255990714623496,0.5891410858914109,3000
vae_gmm,42,8,0.1,11,0.02407222054898739,420.7243618000499,2.759086698851846,0.025093208131598415,0.0969512418196771,0.5573442655734426,3000
vae_kmeans,42,8,0.1,12,0.09515520930290222,629.4204277996088,1.8970190091687777,0.032546531120014134,0.12771449681411776,0.5891410858914109,3000
vae_gmm,42,8,0.1,12,0.024738408625125885,411.69924019874765,2.786793624164742,0.021290009344844204,0.09831638099755624,0.5593440655934406,3000
