method,latent_dim,beta,n_clusters,silhouette_mean,silhouette_std,calinski_harabasz_mean,calinski_harabasz_std,davies_bouldin_mean,davies_bouldin_std,ari_mean,ari_std,nmi_mean,nmi_std,purity_mean,purity_std
pca_gmm,8,,2,0.04410838037729263,0.006696545240367083,432.18313751863786,47.33471238590399,4.527284684682991,0.37098815700705384,0.10316248759976446,0.07631173932336717,0.0932992243358389,0.048411999041186905,0.5344665533446655,0.005634327870512405
pca_gmm,8,,3,0.06496013104915618,0.013847783694158348,521.3141519134821,156.67012683597432,4.2452121331003525,0.5632149893883402,0.06725220063596758,0.061316922214051287,0.11389493518472213,0.06823462719354793,0.5346265373462653,0.00476523433644869
pca_gmm,8,,4,0.04792900532484055,0.010968004909720849,595.9362854840631,21.661283710414672,3.4698783259733177,0.09545403515330537,0.051971071802649815,0.0074184659794624104,0.10391961789616086,0.020634479026631052,0.531946805319468,0.0
pca_gmm,8,,5,0.032783659547567366,0.017847942696431567,539.9023412612587,95.62315443401941,3.3881209677565507,0.2890538319083211,0.055824666447629755,0.020042721403852205,0.1172304951763847,0.030417741725576104,0.5478652134786521,0.014263811086245424
pca_gmm,8,,6,0.020473667606711387,0.009123115841887776,464.4235294516121,21.92216528043318,3.314003991305821,0.24205267275638667,0.05719211512407463,0.01577814201889159,0.12439036552823513,0.03697425571299058,0.5578042195780422,0.019877599760895676
pca_gmm,8,,7,0.023376771621406077,0.00751216721113851,478.06363690966225,35.416450382491334,3.4306587619141453,0.2126105686835815,0.051808547573674646,0.011781668118548723,0.13280348881513104,0.01930142833509595,0.5611438856114389,0.019549132013105402
pca_gmm,8,,8,0.0370111458003521,0.013438821396665095,524.1586243051099,51.05876506394668,3.053772193217246,0.10595422085327237,0.05576898727232403,0.01054329320291592,0.1409786515265629,0.03961317936296574,0.5805619438056194,0.01713179200800471
pca_gmm,8,,9,0.05176670961081982,0.02592666028173204,568.3284842800749,123.04182779746967,2.895665735218512,0.6881029399486256,0.05684670953013392,0.008728005204184538,0.14731935851458586,0.009908146745171932,0.5874612538746126,0.014437635154476524
pca_gmm,8,,10,0.06240541636943817,0.01140141023168983,606.4004399778707,65.98851555678841,2.399091548693904,0.3079530928706654,0.047997578503278286,0.008116675140387638,0.13906875544469477,0.004229821915145935,0.5882411758824118,0.004108725289731863
pca_gmm,8,,11,0.050444372743368146,0.007013860172650346,559.586894005993,47.93139680406286,2.451427675222348,0.14762775398077047,0.04381009955125907,0.00548656404388312,0.13243199526106395,0.017372205807311893,0.5882811718828117,0.009192719833398168
pca_gmm,8,,12,0.04593136087059975,0.008124534856418088,536.4842012084478,41.317347673546585,2.4715148187521234,0.1833841738725089,0.04150317549488138,0.007546339690264922,0.12904237473993846,0.02116713791244433,0.5852614738526147,0.015370905786205797
pca_gmm,8,,13,0.033230481669306755,0.010415600002538031,476.18402223937056,27.174835135714098,2.5611979181375437,0.18714805039554885,0.039892880034260045,0.0061850989333092354,0.1298359472992499,0.008951490346601946,0.5864813518648135,0.0027324909192914188
pca_gmm,8,,14,0.023900796473026276,0.00662517203484434,419.6932674967964,41.31736336561721,2.780884525062447,0.1426472903393603,0.04283346085648002,0.005232036772683991,0.13174454425915877,0.012583783593834146,0.584961503849615,0.005813367407443434
pca_gmm,8,,15,0.012641726201400161,0.012127437711547057,372.9491884863868,31.92441141728061,2.789585322870612,0.22437576094773307,0.037459273845766874,0.006167164042029214,0.1255895959986626,0.00882340280792508,0.578022197780222,0.007909771581851174
pca_gmm,16,,2,0.07109422273933888,0.027341450024745452,658.9957777388904,245.18799782553185,3.880744298154641,1.4883940044195145,0.13575984426223925,0.3067005133770057,0.12889385858825497,0.2826723653510892,0.5797420257974203,0.10687336198829119
pca_gmm,16,,3,0.0495760515332222,0.0026301967888913277,408.5621932134635,7.204202646156283,6.320439120171755,0.5839143014445628,0.010477999519532854,0.02943926438755793,0.0392595854368077,0.08172240035202115,0.5490850914908509,0.03832237289705671
pca_gmm,16,,4,-0.0025309176882728933,0.003187227796686818,212.9905226216493,6.628966940763392,6.202019064351576,0.7422355920589405,0.18676413701028466,0.005354833452525585,0.21657136470022814,0.008494431184718626,0.581121887811219,0.003519875277862896
pca_gmm,16,,5,0.021764930803328753,0.010691939370441416,235.98983042582296,38.55502909145839,6.344024490893318,0.8834155661282,0.18282928127284226,0.1860370333308657,0.21678240829402534,0.12766848794749663,0.623937606239376,0.06436044208422034
pca_gmm,16,,6,0.01600916786119342,0.01176791550237015,212.582696809399,26.531943962792372,5.885993363566267,0.5807258627429047,0.12458281568693204,0.16779689625997665,0.1939944565875365,0.13557653935295863,0.624077592240776,0.06965538440756666
pca_gmm,16,,7,0.015999836288392542,0.01650201609604792,195.87430797163148,52.69616566496637,5.228566857704165,0.8273161178408264,0.07252444305268943,0.07824753155954937,0.16027405697997246,0.06879970746137601,0.5882011798820118,0.0245117895802415
pca_gmm,16,,8,0.005857244879007339,0.002974006000308413,187.16286063336003,28.27991860248619,5.612482811435411,0.9519546411126231,0.21010953350717337,0.10839959382214827,0.2897367046573468,0.07303659522573179,0.6660733926607338,0.032339663244655266
pca_gmm,16,,9,-0.002403144002892077,0.009897793889820755,217.60709401118734,19.72512076352869,4.220310412177035,0.8271024673122095,0.12546909071818063,0.07930194107907187,0.1841715068444,0.061448670348135066,0.6075192480751925,0.04086511949942247
pca_gmm,16,,10,-0.012896137789357453,0.01824545655725957,200.72880509470428,13.99743106685001,3.771833579113083,0.21711312446582762,0.041041208960415396,0.02120776506962634,0.10057734353902806,0.04144156548524093,0.5631236876312369,0.013624421938897697
pca_gmm,16,,11,-0.019266204349696635,0.012295527529492164,172.1815809047501,3.518175302954902,4.045052222000379,0.7127871272069126,0.05693442436511217,0.04171682158910208,0.12660750081358252,0.061146281835307265,0.5764423557644236,0.02375272944162195
pca_gmm,16,,12,-0.017834729701280593,0.01016166541250853,162.80253870175346,17.299287244084656,3.9702566360611002,0.43643244841692325,0.07440350652930157,0.018393296413556717,0.16173773313396483,0.01521186127489708,0.5845615438456154,0.007031152969692302
pca_gmm,16,,13,-0.018834829330444336,0.010360539963213568,155.62973266526296,19.65252120507302,4.210072552097536,0.722678467027469,0.12697909066227014,0.07477985478717923,0.20906796562590083,0.08967254014758295,0.6341365863413658,0.07730358834677269
pca_gmm,16,,14,-0.0315899281296879,0.03591544537362873,162.95524692476172,24.86530114944132,3.8622181099702404,0.22402419859570918,0.11525677234383894,0.02933951783240168,0.21580413347864816,0.026235743785457923,0.6331166883311669,0.030425430964458933
pca_gmm,16,,15,-0.02137581165879965,0.014357761613287709,145.01802904244195,15.456432443437585,4.053583510401595,0.4909130853064537,0.1176272712553994,0.03888299533990163,0.20316875804639306,0.04027049924168991,0.6314368563143685,0.038807264580012935
pca_gmm,32,,2,0.07109422273933888,0.027341450024745452,658.9957777388904,245.18799782553185,3.880744298154641,1.4883940044195145,0.13575984426223925,0.3067005133770057,0.12889385858825497,0.2826723653510892,0.5797420257974203,0.10687336198829119
pca_gmm,32,,3,0.0495760515332222,0.0026301967888913277,408.5621932134635,7.204202646156283,6.320439120171755,0.5839143014445628,0.010477999519532854,0.02943926438755793,0.0392595854368077,0.08172240035202115,0.5490850914908509,0.03832237289705671
pca_gmm,32,,4,-0.0025309176882728933,0.003187227796686818,212.9905226216493,6.628966940763392,6.202019064351576,0.7422355920589405,0.18676413701028466,0.005354833452525585,0.21657136470022814,0.008494431184718626,0.581121887811219,0.003519875277862896
pca_gmm,32,,5,0.021764930803328753,0.010691939370441416,235.98983042582296,38.55502909145839,6.344024490893318,0.8834155661282,0.18282928127284226,0.1860370333308657,0.21678240829402534,0.12766848794749663,0.623937606239376,0.06436044208422034
pca_gmm,32,,6,0.01600916786119342,0.01176791550237015,212.582696809399,26.531943962792372,5.885993363566267,0.5807258627429047,0.12458281568693204,0.16779689625997665,0.1939944565875365,0.13557653935295863,0.624077592240776,0.06965538440756666
pca_gmm,32,,7,0.015999836288392542,0.01650201609604792,195.87430797163148,52.69616566496637,5.228566857704165,0.8273161178408264,0.07252444305268943,0.07824753155954937,0.16027405697997246,0.06879970746137601,0.5882011798820118,0.0245117895802415
pca_gmm,32,,8,0.005857244879007339,0.002974006000308413,187.16286063336003,28.27991860248619,5.612482811435411,0.9519546411126231,0.21010953350717337,0.10839959382214827,0.2897367046573468,0.07303659522573179,0.6660733926607338,0.032339663244655266
pca_gmm,32,,9,-0.002403144002892077,0.009897793889820755,217.60709401118734,19.72512076352869,4.220310412177035,0.8271024673122095,0.12546909071818063,0.07930194107907187,0.1841715068444,0.061448670348135066,0.6075192480751925,0.04086511949942247
pca_gmm,32,,10,-0.012896137789357453,0.01824545655725957,200.72880509470428,13.99743106685001,3.771833579113083,0.21711312446582762,0.041041208960415396,0.02120776506962634,0.10057734353902806,0.04144156548524093,0.5631236876312369,0.013624421938897697
pca_gmm,32,,11,-0.019266204349696635,0.012295527529492164,172.1815809047501,3.518175302954902,4.045052222000379,0.7127871272069126,0.05693442436511217,0.04171682158910208,0.12660750081358252,0.061146281835307265,0.5764423557644236,0.02375272944162195
pca_gmm,32,,12,-0.017834729701280593,0.01016166541250853,162.80253870175346,17.299287244084656,3.9702566360611002,0.43643244841692325,0.07440350652930157,0.018393296413556717,0.16173773313396483,0.01521186127489708,0.5845615438456154,0.007031152969692302
pca_gmm,32,,13,-0.018834829330444336,0.010360539963213568,155.62973266526296,19.65252120507302,4.210072552097536,0.722678467027469,0.12697909066227014,0.07477985478717923,0.20906796562590083,0.08967254014758295,0.6341365863413658,0.07730358834677269
pca_gmm,32,,14,-0.0315899281296879,0.03591544537362873,162.95524692476172,24.86530114944132,3.8622181099702404,0.22402419859570918,0.11525677234383894,0.02933951783240168,0.21580413347864816,0.026235743785457923,0.6331166883311669,0.030425430964458933
pca_gmm,32,,15,-0.02137581165879965,0.014357761613287709,145.01802904244195,15.456432443437585,4.053583510401595,0.4909130853064537,0.1176272712553994,0.03888299533990163,0.20316875804639306,0.04027049924168991,0.6314368563143685,0.038807264580012935
pca_kmeans,8,,2,0.14043553471565245,0.0024159687127457002,1702.529417328383,5.815502333890177,2.3321385868155344,0.004451233406859497,0.0009568047929283113,3.4393192398742135e-05,0.0028145073399123074,7.016883822248887e-05,0.531946805319468,0.0
pca_kmeans,8,,3,0.12048110365867615,0.0016205829131954686,1411.7611304920836,2.73715488881935,2.2060603684222717,0.002268380845949905,0.0006275624087776697,3.3108072281005185e-05,0.0012129765764293582,7.75583944456234e-06,0.531946805319468,0.0
pca_kmeans,8,,4,0.11570623070001602,0.001623629700984097,1285.6161982446295,1.1070941582375662,2.1284537115577438,0.001899845264345601,0.011397262850419018,0.0004045581473146294,0.015905608816639737,0.00040979502795929424,0.531946805319468,0.0
pca_kmeans,8,,5,0.11376994997262954,0.0017917898753564432,1171.3312313008003,1.529881328227833,2.038154505472424,0.0023342374258534426,0.02891883360557147,0.00015552123898118352,0.0317085921574174,0.0002714135906645632,0.5772622737726227,0.0005262552691507141
pca_kmeans,8,,6,0.11063502877950668,0.0018807110640163306,1073.0940469909383,1.288989615954478,1.9776238982479128,0.002644052065790456,0.025357724302126416,0.00043746200201478066,0.030679710028285477,0.0005094235390586331,0.5755024497550245,0.0009812275112766763
pca_kmeans,8,,7,0.11251930445432663,0.002726895310437397,1003.1358798680983,2.1782455515766785,1.888597760479453,0.007212035993442555,0.03747939688752758,0.021187760748063306,0.07084420495991182,0.0557318139185738,0.5814618538146186,0.011533880205341868
pca_kmeans,8,,8,0.11335233002901077,0.0017770458319824817,950.8539263358073,5.08001573684556,1.8323375394301025,0.007696261482981467,0.05240864776302454,0.0010793952184819898,0.11773961236299609,0.0054737770872269435,0.5900609939006098,0.0017425248035817852
pca_kmeans,8,,9,0.11179636865854263,0.002037012479886534,901.3070939394518,5.1104401934084045,1.8295965193524288,0.012703053865883798,0.04213430717123462,0.0005627336576806645,0.11456811209010997,0.0040663521665554505,0.5872012798720128,0.00188076912621561
pca_kmeans,8,,10,0.11310298442840576,0.0019109771515004904,855.6678938736707,4.6628471701995,1.7669229342351727,0.0052406091740825516,0.03556513793823969,0.0005649925342976395,0.11303134140129453,0.004021039782544585,0.585881411858814,0.0011843645731295508
pca_kmeans,8,,11,0.10574890971183777,0.002208685178811449,812.4652090956608,4.368757513907827,1.832655305186067,0.019365355181809266,0.03675679594108458,0.0014963293820202382,0.11243092430547894,0.004810239424325096,0.5923607639236076,0.0018818320079767399
pca_kmeans,8,,12,0.10409683883190154,0.0020759577122131064,774.4662050846994,3.686421640701904,1.8462244589089594,0.010804314661312913,0.031250437599995566,0.0011284007524342788,0.10798355190827424,0.0038165703153213307,0.5908209179082091,0.0014988497814661472
